Sites,Size,Size1(cm),UpstreamFence2021,DownstreamRiver2122,,DownstreamFenc2324,NarrowsHalfCamp2526,UpstreamFence272829,NarrowsOppositeCamp29,Field Distribution
UpstreamFence272829,0.78,78,,,,,,61,,58.3
UpstreamFence272829,0.44,44,,,,,,32,,54
UpstreamFence272829,0.69,69,,,,,,53,,60.2
UpstreamFence272829,0.54,54,,,,,,37,,63.8
UpstreamFence272829,0.57,57,,,,,,46,,49.5
UpstreamFence272829,0.56,56,,,,,,64,,63.5
UpstreamFence272829,0.4,40,,,,,,74,,61
UpstreamFence272829,0.55,55,,,,,,56,,56.3
UpstreamFence272829,0.61,61,,,,,,58,,51
UpstreamFence272829,0.56,56,,,,,,49,,55.7
UpstreamFence272829,0.46,46,,,,,,54,,61.4
UpstreamFence272829,0.47,47,,,,,,46,,62.5
UpstreamFence272829,0.55,55,,,,,,49,,52.9
UpstreamFence272829,0.25,25,,,,,,69,,58
UpstreamFence272829,0.4,40,,,,,,38,,57.5
UpstreamFence272829,0.4,40,,,,,,59,,57
UpstreamFence272829,0.53,53,,,,,,62,,51.4
UpstreamFence272829,0.57,57,,,,,,52,,55.7
UpstreamFence272829,0.46,46,,,,,,86,,56.9
UpstreamFence272829,0.47,47,,,,,,58,,51.1
UpstreamFence272829,0.48,48,,,,,,46,,53.1
UpstreamFence272829,0.47,47,,,,,,49,,54.2
UpstreamFence272829,0.59,59,,,,,,51,,58.5
UpstreamFence272829,0.57,57,,,,,,52,,62
UpstreamFence272829,0.52,52,,,,,,,,59.5
UpstreamFence272829,0.61,61,,,,,,,,61
UpstreamFence272829,0.48,48,,,,,,,,72
UpstreamFence272829,0.56,56,,,,,,,,56
UpstreamFence272829,0.57,57,,,,,,,,52
UpstreamFence272829,0.46,46,,,,,,,,60
UpstreamFence272829,0.72,72,,,,,,,,57
UpstreamFence272829,0.36,36,,,,,,,,54.5
UpstreamFence272829,0.61,61,,,,,,,,62.5
UpstreamFence272829,0.55,55,,,,,,,,68
UpstreamFence272829,0.46,46,,,,,,,,59.5
UpstreamFence272829,0.41,41,,,,,,,,70.5
UpstreamFence272829,0.54,54,,,,,,,,60
UpstreamFence272829,0.3,30,,,,,,,,67.5
UpstreamFence272829,0.31,31,,,,,,,,53.5
UpstreamFence272829,0.41,41,,,,,,,,66.5
UpstreamFence272829,0.53,53,,,,,,,,63
UpstreamFence272829,0.49,49,,,,,,,,64
UpstreamFence272829,0.56,56,,,,,,,,51
UpstreamFence272829,0.56,56,,,,,,,,57
UpstreamFence272829,0.6,60,,,,,,,,58
UpstreamFence272829,0.65,65,,,,,,,,62
UpstreamFence272829,0.62,62,,,,,,,,63
UpstreamFence272829,0.66,66,,,,,,,,59
UpstreamFence272829,0.58,58,,,,,,,,56
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.57,57,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.45,45,,,,,,,,
UpstreamFence272829,0.55,55,,,,,,,,
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.64,64,,,,,,,,
UpstreamFence272829,0.43,43,,,,,,,,
UpstreamFence272829,0.42,42,,,,,,,,
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.51,51,,,,,,,,
UpstreamFence272829,0.51,51,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.48,48,,,,,,,,
UpstreamFence272829,0.75,75,,,,,,,,
UpstreamFence272829,0.6,60,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.73,73,,,,,,,,
UpstreamFence272829,0.63,63,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.42,42,,,,,,,,
UpstreamFence272829,0.45,45,,,,,,,,
UpstreamFence272829,0.36,36,,,,,,,,
UpstreamFence272829,0.35,35,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.86,86,,,,,,,,
UpstreamFence272829,0.58,58,,,,,,,,
UpstreamFence272829,0.63,63,,,,,,,,
UpstreamFence272829,0.75,75,,,,,,,,
UpstreamFence272829,0.6,60,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.48,48,,,,,,,,
UpstreamFence272829,0.41,41,,,,,,,,
UpstreamFence272829,0.37,37,,,,,,,,
UpstreamFence272829,0.49,49,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.4,40,,,,,,,,
UpstreamFence272829,0.62,62,,,,,,,,
UpstreamFence272829,0.65,65,,,,,,,,
UpstreamFence272829,0.26,26,,,,,,,,
UpstreamFence272829,0.57,57,,,,,,,,
UpstreamFence272829,0.45,45,,,,,,,,
UpstreamFence272829,0.49,49,,,,,,,,
UpstreamFence272829,0.42,42,,,,,,,,
UpstreamFence272829,0.39,39,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.47,47,,,,,,,,
UpstreamFence272829,0.49,49,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.58,58,,,,,,,,
UpstreamFence272829,0.68,68,,,,,,,,
UpstreamFence272829,0.61,61,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.4,40,,,,,,,,
UpstreamFence272829,0.38,38,,,,,,,,
UpstreamFence272829,0.43,43,,,,,,,,
UpstreamFence272829,0.54,54,,,,,,,,
UpstreamFence272829,0.37,37,,,,,,,,
UpstreamFence272829,0.5,50,,,,,,,,
UpstreamFence272829,0.42,42,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.3,30,,,,,,,,
UpstreamFence272829,0.61,61,,,,,,,,
UpstreamFence272829,0.32,32,,,,,,,,
UpstreamFence272829,0.53,53,,,,,,,,
UpstreamFence272829,0.37,37,,,,,,,,
UpstreamFence272829,0.46,46,,,,,,,,
UpstreamFence272829,0.64,64,,,,,,,,
UpstreamFence272829,0.74,74,,,,,,,,
UpstreamFence272829,0.56,56,,,,,,,,
UpstreamFence272829,0.58,58,,,,,,,,
UpstreamFence272829,0.49,49,,,,,,,,
UpstreamFence272829,0.54,54,,,,,,,,
UpstreamFence272829,0.46,46,,,,,,,,
UpstreamFence272829,0.49,49,,,,,,,,
UpstreamFence272829,0.69,69,,,,,,,,
UpstreamFence272829,0.38,38,,,,,,,,
UpstreamFence272829,0.59,59,,,,,,,,
UpstreamFence272829,0.62,62,,,,,,,,
UpstreamFence272829,0.52,52,,,,,,,,
UpstreamFence272829,0.86,86,,,,,,,,
UpstreamFence272829,0.58,58,,,,,,,,
NarrowsHalfCamp2526,0.46,46,,,,,,,,
NarrowsHalfCamp2526,0.49,49,,,,,,,,
NarrowsHalfCamp2526,0.51,51,,,,,,,,
NarrowsHalfCamp2526,0.52,52,,,,,,,,
NarrowsOppositeCamp29,0.51,51,,,,,,,,
NarrowsOppositeCamp29,0.4,40,,,,,,,,
UpstreamFence2021,0.32,32,,,,,,,,
UpstreamFence2021,0.47,47,,,,,,,,
UpstreamFence2021,0.39,39,,,,,,,,
UpstreamFence2021,0.36,36,,,,,,,,
UpstreamFence2021,0.42,42,,,,,,,,
UpstreamFence2021,0.31,31,,,,,,,,
UpstreamFence2021,0.46,46,,,,,,,,
UpstreamFence2021,0.3,30,,,,,,,,
UpstreamFence2021,0.36,36,,,,,,,,
DownStreamRiver2122,0.43,43,,,,,,,,
DownStreamRiver2122,0.49,49,,,,,,,,
DownStreamRiver2122,0.37,37,,,,,,,,
DownStreamRiver2122,0.47,47,,,,,,,,
DownStreamRiver2122,0.4,40,,,,,,,,
DownStreamRiver2122,0.53,53,,,,,,,,
DownStreamRiver2122,0.53,53,,,,,,,,
DownStreamRiver2122,0.49,49,,,,,,,,
DownStreamRiver2122,0.48,48,,,,,,,,
DownStreamRiver2122,0.5,50,,,,,,,,
DownStreamRiver2122,0.4,40,,,,,,,,
DownStreamRiver2122,0.47,47,,,,,,,,
DownStreamRiver2122,0.47,47,,,,,,,,
DownStreamRiver2122,0.51,51,,,,,,,,
DownStreamRiver2122,0.61,61,,,,,,,,
DownStreamRiver2122,0.53,53,,,,,,,,
DownStreamRiver2122,0.46,46,,,,,,,,
DownStreamRiver2122,0.44,44,,,,,,,,
DownStreamRiver2122,0.47,47,,,,,,,,
DownstreamFence2324,0.48,48,,,,,,,,
DownstreamFence2324,0.57,57,,,,,,,,
DownstreamFence2324,0.44,44,,,,,,,,
DownstreamFence2324,0.44,44,,,,,,,,
DownstreamFence2324,0.47,47,,,,,,,,
DownstreamFence2324,0.81,81,,,,,,,,
DownstreamFence2324,0.4,40,,,,,,,,
DownstreamFence2324,0.44,44,,,,,,,,
DownstreamFence2324,0.37,37,,,,,,,,
DownstreamFence2324,0.45,45,,,,,,,,
DownstreamFence2324,0.5,50,,,,,,,,
DownstreamFence2324,0.37,37,,,,,,,,
DownstreamFence2324,0.5,50,,,,,,,,
