Date,Hour,DateTime,Count
30/04/2016,16:00:00,30/04/2016 16:00,329051
30/04/2016,17:00:00,30/04/2016 17:00,272082
30/04/2016,18:00:00,30/04/2016 18:00,255869
30/04/2016,19:00:00,30/04/2016 19:00,334374
30/04/2016,20:00:00,30/04/2016 20:00,196609
30/04/2016,21:00:00,30/04/2016 21:00,456329
30/04/2016,22:00:00,30/04/2016 22:00,438880
30/04/2016,23:00:00,30/04/2016 23:00,148310
1/5/16,0:00:00,1/5/16 0:00,108288
1/5/16,1:00:00,1/5/16 1:00,97370
1/5/16,2:00:00,1/5/16 2:00,358827
1/5/16,3:00:00,1/5/16 3:00,211628
1/5/16,4:00:00,1/5/16 4:00,251398
1/5/16,5:00:00,1/5/16 5:00,285296
1/5/16,6:00:00,1/5/16 6:00,14192
1/5/16,8:00:00,1/5/16 8:00,99607
1/5/16,9:00:00,1/5/16 9:00,639012
1/5/16,10:00:00,1/5/16 10:00,424323
1/5/16,11:00:00,1/5/16 11:00,219452
1/5/16,12:00:00,1/5/16 12:00,310454
1/5/16,13:00:00,1/5/16 13:00,166414
1/5/16,14:00:00,1/5/16 14:00,129904
1/5/16,15:00:00,1/5/16 15:00,93977
1/5/16,16:00:00,1/5/16 16:00,87114
1/5/16,17:00:00,1/5/16 17:00,242116
1/5/16,18:00:00,1/5/16 18:00,104711
1/5/16,19:00:00,1/5/16 19:00,94475
1/5/16,20:00:00,1/5/16 20:00,105012
1/5/16,21:00:00,1/5/16 21:00,269626
1/5/16,22:00:00,1/5/16 22:00,281545
1/5/16,23:00:00,1/5/16 23:00,71609
2/5/16,0:00:00,2/5/16 0:00,100904
2/5/16,1:00:00,2/5/16 1:00,71647
2/5/16,2:00:00,2/5/16 2:00,240235
2/5/16,3:00:00,2/5/16 3:00,193232
2/5/16,4:00:00,2/5/16 4:00,123014
2/5/16,5:00:00,2/5/16 5:00,142909
2/5/16,6:00:00,2/5/16 6:00,11956
2/5/16,10:00:00,2/5/16 10:00,300542
2/5/16,11:00:00,2/5/16 11:00,174963
2/5/16,12:00:00,2/5/16 12:00,151366
2/5/16,13:00:00,2/5/16 13:00,90808
2/5/16,14:00:00,2/5/16 14:00,31803
2/5/16,15:00:00,2/5/16 15:00,10810
2/5/16,20:00:00,2/5/16 20:00,42727
2/5/16,21:00:00,2/5/16 21:00,132823
2/5/16,22:00:00,2/5/16 22:00,22181
3/5/16,0:00:00,3/5/16 0:00,58785
3/5/16,1:00:00,3/5/16 1:00,77060
3/5/16,2:00:00,3/5/16 2:00,119420
3/5/16,3:00:00,3/5/16 3:00,105600
3/5/16,4:00:00,3/5/16 4:00,34565
3/5/16,5:00:00,3/5/16 5:00,22049
3/5/16,6:00:00,3/5/16 6:00,2565
3/5/16,13:00:00,3/5/16 13:00,118409
3/5/16,14:00:00,3/5/16 14:00,43745
3/5/16,15:00:00,3/5/16 15:00,14623
3/5/16,19:00:00,3/5/16 19:00,27933
3/5/16,20:00:00,3/5/16 20:00,28258
3/5/16,21:00:00,3/5/16 21:00,110949
